,name,sold,price
60,Áo sơ mi ngắn tay nam Owen Bamboo Bodyfit họa tiết caro - BA22683NT,43,394560
64,Áo sơ mi ngắn tay nam Owen Bamboo Slimfit màu xám - AS22678N,40,548000
71,Áo sơ mi Dài tay Owen Café Regular Fit màu Be - AR23367D,31,628000
78,Áo sơ mi ngắn tay nam Owen Bạch đàn Body Fit màu Xanh kẻ trắng - BA23394N,22,568000
93,Áo sơ mi ngắn tay nam Owen Bamboo Regular Fit Xanh trắng - AR23584N,15,568000
96,Áo sơ mi dài tay nam Owen Bamboo Slim Fit Xanh navy trắng - AS23208D,18,588000
98,Áo sơ mi ngắn tay nam Owen Bạch đàn Body Fit Xanh caro - BA20569NT,15,568000
140,Áo sơ mi Dài tay Owen Lô hội Slim Fit màu Xanh - AS22943D,28,417600
204,Áo sơ mi nhung tăm thêu PATTERN PA016,2607,169150
220,Bộ sơ mi đũi nhăn PATTERN PB007,13,249000
227,Áo sơ mi nam cộc tay PATTERN Cuban shirt 5 màu trơn PA010,2201,169000
228,Áo sơ mi họa tiết PATTERN Cuban shirt hoa lá đi biển PA011,4354,169000
1636,Áo sơ mi nam dài tay Café Sticky Free khử mùi hiệu quả - thương hiệu Coolmate,1689,449000
1720,Áo sơ mi nam dài tay Bamboo Ex-Soft kháng khuẩn màu XANH/ĐEN thương hiệu Coolmate CW,911,419000
1748,Áo sơ mi nam dài tay Café-DriS màu XANH NHẠT khử mùi hiệu quả thương hiệu Coolmate,378,449000
1987,Set áo nam thần nỉ lifewear đen phối sơ mi trắng sticky - thương hiệu Coolmate CW,45,755000
2082,"Áo sơ mi nam Gray streaks vải lụa thoáng mát, không nhăn, form regular - FEAER",241,284050
2085,"Áo sơ mi nam Baskerville vải lụa thoáng mát, không nhăn, form regular - FEAER",13,349000
2086,Áo sơ mi nam tay dài VELVET FABRIC chất lụa nhung gân FEAER DENIM,2397,288150
2090,Áo sơ mi FEAER DENIM thoáng khí nhẹ thoải mái chất lụa BASIC SHORT,4917,189050
2091,Áo sơ mi nam FEAER DENIM tay dài chất lụa nhung gân VELVET FABRIC màu đen,1965,339000
2114,"Áo sơ mi nam De Luxe V2 vải lụa thoáng mát, không nhăn, form regular - FEAER",79,314100
2116,Áo sơ mi nam tay dài Velvet màu xanh ngọc chấy lụa nhung gân trẻ trungm sang trọng - FEAER,81,288150
2117,Áo sơ mi nam FEAER chất lụa họa tiết lá đen Boo Boo,29718,199000
2121,Áo sơ mi nam tay dài Punch Needle chất nhung gân trẻ trung sang trọng - FEAER,4,299000
2123,RANDOM BOX - Áo polo và sơ mi FEAER,18,299000
2127,"Áo sơ mi nam Cosmos vải lụa thoáng mát, không nhăn, form regular - FEAER",24,299000
2135,"Áo sơ mi nam Feaerless vải lụa thoáng mát, không nhăn, form regular - FEAER",7,299000
2137,"Áo sơ mi nam Fleur vải lụa thoáng mát, không nhăn, form regular - FEAER",21,349000
2139,"Áo sơ mi nam LEAF CHAIN vải lụa thoáng mát, không nhăn, form regular - FEAER",154,349000
2146,Áo sơ mi nam tay dài FEAER chất Linen thoáng Linen Silky,3309,279000
2148,"Áo sơ mi nam tay dài nam FEAER chất lụa thoáng, cao cấp Basic Long Sleeve",2499,279000
2149,"Áo sơ mi nam Smileys vải lụa thoáng mát, không nhăn, form regular - FEAER",17,349000
2154,Áo sơ mi nam tay dài VELOURS vải lụa nhung tăm - FEAER,176,299000
2156,"Áo sơ mi nam LEOPARD vải lụa mềm mịn, thoáng mát, chuẩn form - FEAER",5,299000
2158,"Áo sơ mi nam GARFIELD chất mền mịn, sang trọng, chuẩn form - FEAER",51,349000
2161,"Áo sơ mi nam CICAFLOW chất mềm mịn, sang trọng, chuẩn form, trẻ trung - FEAER",49,349000
2162,"Áo sơ mi nam SCRIBBLE vải lụa mềm mịn, thoáng mát, chuẩn form - FEAER",39,329000
2163,Áo sơ mi nam FEAER DENIM họa tiết hổ chất lụa mềm mịn TIGER KING,31,299000
2172,"Áo sơ mi nam ngắn tay trơn 4MEN AOSM087 form regular, vải lụa chéo đẹp hạn chế nhăn, màu sắc thanh lịch, hiện đại",3063,179000
2178,"Áo sơ mi nam oxford trơn đẹp 4MEN SM070 tay dài form suông regular, vải oxford dày dặn, mềm mịn, thấm mồ hôi, co giãn",1068,319000
2213,"Áo sơ mi nam dài tay phối màu đẹp 4MEN SM086 form dáng Regular, vải clotton mềm mịn, thoáng mát, phong cách trẻ trung",87,315000
2219,"Áo sơ mi nam kẻ sọc 4MEN SM067 dài tay, cổ Đức, vải Oxford và Cotton mềm, nhẹ, bền, thoáng mát, trẻ trung, thanh lịch",59,375000
2232,"Áo sơ mi nam họa tiết 4MEN SM082 vải trắng in họa tiết đẹp trẻ trung, vải cotton thấm mồ hôi, thoáng mát",122,199000
2239,"Áo sơ mi nam ngắn tay 4MEN SM093 vải linen mềm mịn, ít nhăn, giữ form đẹp, thoáng mát, in họa tiết trẻ trung, phong cách",11,395000
2381,Áo sơ mi nam trơn dài tay Kojiba màu trắng dáng slimfit vải lụa hàn mềm mịn không nhăn xù khống xù không phai màu,19358,87000
2382,Áo sơ mi nam cổ tàu dài tay kojiba Sơ mi trắng chất vải lụa mềm mịn mỏng không nhăn không xù không phai màu,21761,99000
2383,"Áo sơ mi nam dài tay cổ bẻ KOJIBA dáng Hàn Quốc vải lụa trơn cao cấp màu trắng,đen chống nhăn chống xù không phai màu",605,87000
2384,Áo sơ mi nam ngắn tay Kojiba dáng ôm dáng Hàn Quốc vải lụa cao cấp loại đẹp chống nhăn chống xù không phai màu,2042,97000
2387,Combo soái ca quần âu nam Kojiba màu đen áo sơ mi nam trắng dáng ôm body,2482,199000
2389,Áo sơ mi nam cổ bẻ dài tay Kojiba dáng ôm công sở hàn quốc cao cấp vải loại đẹp chống nhăn chống xù không phai màu,12306,99000
2391,Áo sơ mi nam tay dài Kojiba dáng ôm body phong cách Công Sở chất vải lụa loại tốt chống nhăn không xù không phai màu,2159,87000
2392,Áo sơ mi nam nữ unisex dài tay form rộng màu kem và xanh lá hot trend Kojiba,6596,102000
2393,Áo sơ mi nam Kojiba ngắn tay Hàn Quốc dáng ôm cổ bẻ vải lụa cao cấp chống nhăn chống xù không phai màu,560,97000
2395,Áo sơ mi nam cổ tàu màu đen dài tay Kojiba dáng ôm SMT,1136,99000
3128,Áo sơ mi caro phong cách Hàn Quốc năng động trẻ trung xanh than nâu MANDO SMD034,417,199000
3197,"Áo sơ mi nam ngắn tay cổ bẻ ROUGH chất liệu nhung tăm mỏng nhẹ, không xù vải",209,169000
3230,Áo sơ mi ngắn tay ROUGH nam nữ dáng rộng vải nhung tăm cao cấp,21,169000
3247,Áo sơ mi nam tay cộc ROUGH dáng rộng vải nhung tăm cao cấp,61,169000
3276,Áo sơ mi nam ngắn tay ROUGH dáng rộng vải nhung tăm trơn 5 màu,31,169000
3278,Áo sơ mi nam cộc tay ROUGH Cuban shirt 6 màu trơn,323,99000
3438,Áo sơ mi nam ngắn tay Biluxury 6SMCH001TTS công nghệ kháng khuẩn thời trang văn phòng lịch lãm,10,519000
3441,Áo sơ mi nam ngắn tay Biluxury 6SMCH002TRK công nghệ kháng khuẩn thời trang văn phòng lịch lãm,11,495000
3445,Áo sơ mi nam ngắn tay Biluxury 6SMCH006GHS phom Slimit công nghệ kháng khuẩn thời trang văn phòng lịch lãm,7,499000
3450,Áo sơ mi nam ngắn tay Biluxury 6SMCH004GHS sử dụng công nghệ dệt jacquard hiện đại phom ôm vừa tôn dáng trẻ trung,13,499000
3452,Áo sơ mi nam trắng dài tay Biluxury form Bodyfit ôm vừa basic thanh lịch 4SMDB002TRK,103,575000
3453,Áo sơ mi nam dài tay Biluxury 6SMDS002TTT họa tiết phom Slimit thời trang văn phòng lịch lãm,5,575000
3454,Áo sơ mi nam ngắn tay trắng Biluxury 6SMCC005TRK công nghệ kháng khuẩn thời trang văn phòng lịch lãm,6,499000
3456,Áo sơ mi nam ngắn tay Biluxury 6SMCH007XAH công nghệ kháng khuẩn thời trang văn phòng lịch lãm,10,499000
3461,Áo sơ mi nam dài tay Biluxury 6SMDC011XDM họa tiết phom Casual thời trang văn phòng lịch lãm,4,599000
3486,Áo khoác gió 2 lớp kiểu dáng sơ mi cổ bẻ from 1996 Bảo Đăng,59,99000
3487,Áo khoác nam cổ đứng vải mero cao cấp kiểu dáng sơ mi phối cúc bấm fom rộng phong cách hàn quốc BẢO ĐĂNG,401,109000
3516,"Áo khoác nam kiểu dáng sơ mi cổ bẻ chất liệu dù 2 lớp đi mưa ,cản gió ,chống nắng tốt họa tiết cá sấu lướt ván BẢO ĐĂNG",131,99000
3517,Áo khoác sơ mi dù vải quang châu kết hợp cổ bẻ họa tiết chữ smile from rộng nam nữ Bảo Đăng,15,99000
3545,OWEN - Áo sơ mi nam dài tay Regular Fit màu xanh nhạt - AR230376DT,396,487500
3549,OWEN - Áo sơ mi dài tay Regular Fit màu Trắng Bamboo - AR20473DP,33,438750
3552,OWEN - Áo sơ mi dài tay Regularfit Trắng - AR91009D1,70,498000
3553,OWEN - Áo sơ mi ngắn tay Body Fit Vàng chất liệu Mint - AB230374NT,4,487500
3556,Áo sơ mi dài tay OWEN Bamboo Slimfit không túi màu xanh sọc - AS22248D,245,282500
3562,Áo sơ mi ngắn tay nam Owen Bamboo kiểu dáng Regularfit - AR90848N,41,536000
